channel,channel_id,p_in_ref,p_min,p_max,u_min,u_max,v_min,v_max,valid_cell_centers,n_cells,lower_wall_zone,upper_wall_zone,inlet_zone,outlet_zone
channel_66,66,1519.207730991296,-33.87253449545871,4603.427720248919,0.00441784964635992,1.5808267703653742,-0.28935499614197924,0.29438390592758124,232594,232594,1,3,4,2
channel_67,67,1452.9889538319403,-32.07914405568023,4393.005843683079,0.0062595714134983564,1.522834089076904,-0.2811080038285131,0.2830309374754292,235796,235796,1,3,4,2
channel_68,68,1491.8495255650503,-27.30924816697398,4700.019685536392,0.005498236287854107,1.5170076516188513,-0.3021157907194879,0.30463073391580825,233606,233606,1,3,4,2
channel_69,69,1588.8058424539254,-27.78235163520717,4259.834652820955,0.007959265387768802,1.5863632197014481,-0.24780427248056885,0.25391387848699615,229924,229924,1,3,4,2
channel_70,70,1474.7541804449463,-34.997309574344854,4726.603526955692,0.007637041008643952,1.5149793753061755,-0.30019113009158704,0.3081858948828892,233904,233904,1,3,4,2
channel_71,71,1602.1489420569837,-26.340803905918683,4293.16782872556,0.005169469609820107,1.5706819360578743,-0.2538938347072011,0.2543702217800048,230524,230524,1,3,4,2
channel_72,72,1507.401796718133,-31.6406019527311,4327.204123407193,0.008817836513803528,1.5565517558332005,-0.2780446754387684,0.27180511613274083,231736,231736,1,3,4,2
channel_73,73,1620.7534007238821,-20.76928912112714,4364.830600749583,0.004213977152515258,1.564142409606286,-0.2570990837362451,0.2516129457382734,229716,229716,1,3,4,2
channel_74,74,1528.1396361130007,-32.12888353159206,4717.4705239717305,0.007005029491325447,1.541216861145161,-0.29439241959588364,0.30354635832304216,230808,230808,1,3,4,2
channel_75,75,1466.0840853986456,-27.20299530515591,4366.827390287032,0.005820074234492158,1.5190233387015883,-0.29243419721485964,0.29054277112651933,237284,237284,1,3,4,2
channel_76,76,1501.1626931574474,-26.068614611316388,5357.982617930667,0.004855122698386052,1.5261618516649138,-0.3220678316375079,0.3430863688713171,235384,235384,1,3,4,2
channel_77,77,1633.8423789923986,-27.595527681338194,4127.512023087436,0.004075782878942052,1.5964683848098857,-0.22647162743106625,0.22896458702655859,227220,227220,1,3,4,2
channel_78,78,1576.0895613480523,-32.05238690715923,4724.237341756151,0.0038532175205656222,1.5287597459157216,-0.3065142386530566,0.30932714563535163,229326,229326,1,3,4,2
channel_79,79,1469.388332881225,-32.48278213042286,4765.974850229652,0.006329537015756041,1.5457187243545485,-0.3089840287568299,0.3116433432304716,234898,234898,1,3,4,2
channel_80,80,1611.0929882527164,-23.860561343998334,4863.407863537948,0.004480426730307687,1.5518934194075338,-0.3057351106837292,0.2966835297531119,229580,229580,1,3,4,2
channel_81,81,1521.9079769084874,-27.737820008794564,6851.174627162254,0.00640789647174932,1.5763189528767145,-0.5038230531778896,0.4740924786030504,231878,231878,1,3,4,2
channel_82,82,1381.969778406789,-31.228543092302093,4108.567304513504,0.008794977753388144,1.477206040550315,-0.24812118426246269,0.25641477810143753,239954,239954,1,3,4,2
channel_83,83,1571.8516468910736,-23.60498617303412,4723.751906681203,0.008810989562357176,1.5382204203907635,-0.30965701049992217,0.31736811503265877,233160,233160,1,3,4,2
channel_84,84,1751.8631841705528,-29.53412762997054,4678.831695874044,0.00828151640128143,1.6351339456227014,-0.2779076579925225,0.279189030225629,224080,224080,1,3,4,2
channel_85,85,1646.5194219435766,-24.598788285599746,5820.673786723752,0.005044990612851477,1.5651257845413493,-0.3677831407246572,0.3852820168317067,227294,227294,1,3,4,2
channel_86,86,1622.4740914916383,-25.321579090656694,4984.711437317398,0.010334280828404674,1.5562776279304276,-0.33397916926160626,0.3201106494839921,227486,227486,1,3,4,2
channel_87,87,1617.8845247766533,-11.44939519869294,4427.305549442588,0.009178072101880149,1.576319506195199,-0.26549082423848874,0.2590012622037504,229976,229976,1,3,4,2
channel_88,88,1599.0459463462141,-32.26826834668234,4714.98175777729,0.011913132562193757,1.5649168707089531,-0.2961547399741149,0.29930415404009425,228402,228402,1,3,4,2
channel_89,89,1654.3981147879826,-28.335395138261074,4160.753757043211,0.008870510657103156,1.6262692148279887,-0.23174099725842917,0.22497937311675315,224802,224802,1,3,4,2
channel_90,90,1475.8183690739133,-27.582591697921572,5063.431734277465,0.001735342538444101,1.5334145334610938,-0.35227663059600517,0.33181700894632377,234938,234938,1,3,4,2
channel_91,91,1723.8396250648764,-22.092288626966177,5065.067580514193,0.006653317338668112,1.6021823177422045,-0.3185917257396421,0.31382502149113345,224056,224056,1,3,4,2
channel_92,92,1679.706998346192,-48.362594605720886,5174.893647478834,0.003571260150845579,1.5742294389162417,-0.34492117163794306,0.3511528574026386,228450,228450,1,3,4,2
channel_93,93,1419.097521091894,-26.538449855326615,4535.507876492342,0.010667102338092923,1.489680498625754,-0.29971683611640293,0.2989493259596375,238512,238512,1,3,4,2
channel_94,94,1648.0347652222229,-30.55663612510696,5621.4613816165365,0.009038613422115527,1.5536470497896657,-0.33286139330316766,0.3294021174924449,226204,226204,1,3,4,2
channel_95,95,1580.002172229572,-26.58092863533675,5097.914019072496,0.01155173257461388,1.558089940544499,-0.3433676094237227,0.33258545775675796,229858,229858,1,3,4,2
channel_96,96,1581.518448313716,-29.618398857276606,4692.012451232484,0.01045406835051851,1.559769496505159,-0.29447149387577576,0.2938689450198032,228820,228820,1,3,4,2
channel_97,97,1665.1412609458928,-23.149838505619936,4328.932653375386,0.006424818968324094,1.5677314443894255,-0.2438086180762378,0.25189576291562865,225946,225946,1,3,4,2
channel_98,98,1409.7676766166744,-33.50761451353298,4055.222461943672,0.007902489310383452,1.54107905757838,-0.24319961249622393,0.24374779393545193,238472,238472,1,3,4,2
channel_99,99,1541.9004628465086,-30.365028334403288,5046.694786568289,0.010156011897173156,1.5795174720900182,-0.3275827170549404,0.3065681880197537,231464,231464,1,3,4,2
channel_100,100,1538.576833591527,-46.71227975400031,4874.384357305367,0.0028123763263171618,1.5732424671893186,-0.31053988060596527,0.3082984960548413,232314,232314,1,3,4,2
channel_101,101,1551.07129523514,-23.631599887455064,4378.33735145443,0.010181088476704746,1.577719905298626,-0.27526558168115256,0.2790592245672167,232288,232288,1,3,4,2
channel_102,102,1569.5577039269765,-31.731886820831605,4596.238172190698,0.00894750905736038,1.6090983976721103,-0.2862684299813089,0.28485736288501257,229932,229932,1,3,4,2
channel_103,103,1679.8169391406354,-25.995621858381092,5245.214595725429,0.011080623385300388,1.605715158800664,-0.330516531605512,0.33863363078262876,225758,225758,1,3,4,2
