design_id,Wc,Hc,tw,Rf,py,Neff,sx,A,lam,win,wout,lh,N,AR,Rf_max,span
22,0.5334711556322873,0.6332733589224517,1.0666291794274003,0.18113396670669318,2.2730042188428343,7.974502483382821,0.707329071033746,0.10183514300733805,5.783452687785029,3.9660562351346016,0.81180578796193,13.882804146036506,8.0,1.187080786348937,0.26673557781614365,31.27960377432927
23,1.1415869057178498,0.8545717344619334,0.35988229466602206,0.10257952176034452,1.9848170246928931,8.369965251535177,0.694905179226771,0.06319995364174247,6.636947877705097,1.2561293602921069,0.6602844395674765,7.1632073214277625,8.0,0.7485822850469397,0.17994114733301103,32.7186279070477
24,0.9021894138772041,0.9765355963259935,0.7302434597164393,0.3047751972451806,2.3790178802795707,6.640917632728815,0.6935674571432173,0.2873828480020165,4.527820325922221,0.9466621861793101,3.2077236413024366,5.4254617700353265,7.0,1.0824064008125334,0.36512172985821967,31.103458585659315
25,0.30953265354037285,0.989906360488385,0.379684948688373,0.13398888185620308,1.0619623251259327,7.325297076255083,0.6864650501869618,0.013617192115634679,5.168316789902747,1.923690163064748,4.430253576487303,4.1109516667202115,7.0,3.1980676324970343,0.15476632677018642,29.275027151104396
26,0.3545936124399305,0.7774742967449129,0.4723891664296389,0.10538117550313474,1.7742674813605848,9.64954337105155,0.9327274449169636,0.2269249979406595,11.181172237731516,4.6551125459373,4.659779656678438,5.2357351230457425,10.0,2.1925784037540157,0.17729680621996524,37.01538919710849
27,0.5380323492921889,0.9987533377483487,0.4275461798999458,0.15486315749585627,1.203970816079527,11.545472787693143,0.8061390615534036,0.29048244869336487,8.775604023598135,4.195103109348565,0.6668087244033813,2.0678222458809614,12.0,1.8563072258801234,0.2137730899499729,35.581436973100594
28,0.6598541595507413,0.8560504966415465,0.8115247091744096,0.2599172310903668,1.8420969475992024,7.521128324791789,0.6498034602962434,0.210822266433388,1.7265664809383452,2.5394894490018487,2.941027009859681,7.699527310207486,8.0,1.297332879168913,0.32992707977537067,28.279110995337188
29,0.5682391269598156,0.44872890040278435,0.7760331715922804,0.1967402333393693,1.731735538225621,9.730026355013251,0.8435446321032941,0.04774019680917263,10.79936625668779,1.7877909890376031,1.2545008780434728,10.082672513090074,10.0,0.7896832145360474,0.2841195634799078,38.767377999293664
30,0.7420578308869153,0.807623405661434,1.125315662054345,0.35020799897611143,2.109012208972126,7.556284859776497,0.7018348323646932,0.15269997529685497,10.47635175427422,2.243419385049492,4.312679778318852,10.541257987730205,8.0,1.0883564218925552,0.3710289154434577,29.78860802858104
31,0.3472632120363415,0.563560895062983,0.7096173070371151,0.15249893423169852,1.4260856535285713,8.178357074037194,0.882665102276951,0.09269326720386743,3.1886370512656868,0.6659978087991476,3.05900912405923,14.326729577034712,8.0,1.6228637976314224,0.17363160601817074,39.96265638619681
32,0.7226956766098738,0.9974138643592596,0.2700823076069355,0.11077230200171471,1.8377965001389387,6.168579418212175,0.6125948756467551,0.26972863264381886,3.957579420413822,2.112843293696642,3.7698283842764795,7.320749391801655,6.0,1.3801298342312962,0.13504115380346776,26.413454381652368
33,0.6514647946693004,0.6896778784692288,0.9366212711669505,0.13496399596333503,2.018142085056752,6.222801027819514,0.6882520338986069,0.039332589134573936,11.376991990953684,3.864598795771599,1.9645615383051336,2.1382706873118877,6.0,1.0586571739756503,0.3257323973346502,29.712418205182345
34,0.45971701573580503,0.9203181365504861,0.5476724504493177,0.10810453817248344,2.056645302753896,7.139990497380495,0.8611383493058383,0.021540754940360785,2.3725834474898875,3.2533377991057932,2.183050441555679,4.581088735722005,7.0,2.001923150652714,0.22985850786790252,37.51429672023719
35,0.8930757874622941,0.5338931387290359,0.42940757148899134,0.13154058884829284,1.4808992255479096,10.356312520802021,0.7988704210147262,0.011749088298529387,2.892690140288323,1.0055608307011425,2.061866842675954,7.514507019892335,10.0,0.5978139215330334,0.21470378574449567,36.6941733928586
36,0.849576093396172,0.7745813524350524,0.5579201705753803,0.19878591783344746,2.277437858656049,6.831515371799469,0.7365252105053514,0.00371682895347476,2.0342190405353904,4.629251700825989,1.0871751494705677,14.239165329374373,7.0,0.911726869971907,0.2789600852876902,31.879442825509102
37,0.787027024710551,0.947474505379796,0.9222729859873653,0.21517713703215122,2.3067125607281924,7.7443040404468775,0.8137411119416356,0.05724806115031242,11.71533429203555,4.035568024497479,1.3004442141391337,11.82272851653397,8.0,1.2038652748020358,0.3935135123552755,35.53118195273781
38,0.5217293662950396,0.5115889983251691,0.5021268694661558,0.2270884407684207,1.282540654949844,14.759625373408198,0.9087554965633898,0.09976072842255235,7.941509510856122,1.4588848697021604,2.85445291781798,4.655470513738692,15.0,0.9805639309861349,0.2510634347330779,40.609249908662605
39,0.6440475958865136,0.4295098745264113,0.9014862581156194,0.10019194260239601,1.7646532649174334,8.806152300909162,0.7141548013314605,0.020100833382457495,0.8065088912844658,3.0443747905083,0.6111273770220578,5.510972407646477,9.0,0.6668915112324935,0.3220237979432568,32.3829908410222
40,0.5757842492312193,0.6385573559440673,0.7419560933019966,0.23049753550440072,1.9853023821488023,7.252251053228974,0.8212313590105622,0.028172145690768955,1.2957838573493063,2.3032302195206285,2.7488602958619595,13.003671964630485,7.0,1.1090219240916401,0.28789212461560965,36.09140143172554
41,0.5029812234453857,0.8589112351648509,0.47579996692948046,0.19166721794754266,2.0893364721909164,6.198555484414101,0.7290137680247426,0.051543028280138965,9.584057062864304,1.71945435507223,2.5215822965838015,13.82466418016702,6.0,1.7076407530312363,0.23789998346474023,32.629900523457586
