2026-07-24 13:31:53 - transient_deeponet - INFO - Training comment
2026-07-24 13:31:53 - transient_deeponet - INFO - Cylinder transient data; complete 100-step trajectory per x-strip sample
2026-07-24 13:31:53 - transient_deeponet - INFO - Output directory: /home/hantianl/Documents/PIDIF/DeepONet/results/transient_072426_1
2026-07-24 15:15:39 - transient_deeponet - INFO - Epoch 0430 | data loss=1.415e-02 | bc loss=0.000e+00 | valid MSE=6.313e+02 | valid rel L2=6.567e-02 | pressure=3.523e-02, u=3.534e-02, v=1.711e-01 | Time: 1:43:38.232745
2026-07-24 15:18:06 - transient_deeponet - INFO - Epoch 0440 | data loss=1.708e-02 | bc loss=0.000e+00 | valid MSE=4.682e+02 | valid rel L2=6.152e-02 | pressure=3.034e-02, u=3.108e-02, v=1.624e-01 | Time: 1:46:05.646746
2026-07-24 15:20:24 - transient_deeponet - INFO - Epoch 0450 | data loss=1.468e-02 | bc loss=0.000e+00 | valid MSE=5.170e+02 | valid rel L2=6.016e-02 | pressure=3.188e-02, u=3.470e-02, v=1.740e-01 | Time: 1:48:23.906527
2026-07-24 15:22:44 - transient_deeponet - INFO - Epoch 0460 | data loss=1.281e-02 | bc loss=0.000e+00 | valid MSE=3.488e+02 | valid rel L2=4.301e-02 | pressure=2.619e-02, u=2.771e-02, v=1.578e-01 | Time: 1:50:43.186253
2026-07-24 15:25:02 - transient_deeponet - INFO - Epoch 0470 | data loss=1.298e-02 | bc loss=0.000e+00 | valid MSE=5.825e+02 | valid rel L2=7.857e-02 | pressure=3.384e-02, u=3.047e-02, v=1.655e-01 | Time: 1:53:01.480722
2026-07-24 15:27:08 - transient_deeponet - INFO - Epoch 0480 | data loss=2.095e-02 | bc loss=0.000e+00 | valid MSE=1.135e+03 | valid rel L2=2.418e-01 | pressure=4.724e-02, u=3.918e-02, v=1.836e-01 | Time: 1:55:07.495751
2026-07-24 15:29:33 - transient_deeponet - INFO - Epoch 0490 | data loss=1.170e-02 | bc loss=0.000e+00 | valid MSE=4.350e+02 | valid rel L2=4.623e-02 | pressure=2.924e-02, u=2.880e-02, v=1.572e-01 | Time: 1:57:32.554557
2026-07-24 15:32:01 - transient_deeponet - INFO - Epoch 0500 | data loss=1.546e-02 | bc loss=0.000e+00 | valid MSE=5.687e+02 | valid rel L2=7.795e-02 | pressure=3.344e-02, u=3.405e-02, v=1.575e-01 | Time: 2:00:00.821426
2026-07-24 15:34:16 - transient_deeponet - INFO - Epoch 0510 | data loss=1.435e-02 | bc loss=0.000e+00 | valid MSE=1.220e+03 | valid rel L2=8.806e-02 | pressure=4.897e-02, u=3.100e-02, v=1.899e-01 | Time: 2:02:15.901216
2026-07-24 15:36:42 - transient_deeponet - INFO - Epoch 0520 | data loss=2.048e-02 | bc loss=0.000e+00 | valid MSE=7.155e+02 | valid rel L2=1.163e-01 | pressure=3.750e-02, u=4.184e-02, v=2.258e-01 | Time: 2:04:41.028934
2026-07-24 15:39:00 - transient_deeponet - INFO - Epoch 0530 | data loss=1.103e-02 | bc loss=0.000e+00 | valid MSE=5.140e+02 | valid rel L2=5.153e-02 | pressure=3.179e-02, u=2.710e-02, v=1.510e-01 | Time: 2:06:59.383232
2026-07-24 15:41:22 - transient_deeponet - INFO - Epoch 0540 | data loss=1.301e-02 | bc loss=0.000e+00 | valid MSE=5.165e+02 | valid rel L2=5.434e-02 | pressure=3.187e-02, u=3.012e-02, v=1.599e-01 | Time: 2:09:21.117185
2026-07-24 15:43:45 - transient_deeponet - INFO - Epoch 0550 | data loss=1.067e-02 | bc loss=0.000e+00 | valid MSE=4.963e+02 | valid rel L2=4.873e-02 | pressure=3.123e-02, u=2.779e-02, v=1.502e-01 | Time: 2:11:44.259128
2026-07-24 15:46:06 - transient_deeponet - INFO - Epoch 0560 | data loss=1.253e-02 | bc loss=0.000e+00 | valid MSE=4.135e+02 | valid rel L2=5.340e-02 | pressure=2.851e-02, u=3.123e-02, v=1.523e-01 | Time: 2:14:05.078076
2026-07-24 15:48:29 - transient_deeponet - INFO - Epoch 0570 | data loss=1.065e-02 | bc loss=0.000e+00 | valid MSE=4.934e+02 | valid rel L2=7.656e-02 | pressure=3.114e-02, u=3.009e-02, v=1.570e-01 | Time: 2:16:28.506477
